medallion,hack_license,pickup_datetime,dropoff_datetime,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,total_amount,date
0D70E61DA85C2551D35C67FDB27AE291,2CC370DC5567ECA23DDCAF08705AA3BF,2013-01-01T00:36:00.000+01:00,2013-01-01T00:37:00.000+01:00,60,0.47,-73.980316,40.78046,-73.977135,40.784821,CSH,3.5,0.5,0.5,0.0,0.0,4.5,6.0
5989A1DACCFFD3119C4E37EC9D9D99EF,DD97899ACAC51EF3188A659DB1F4EDBB,2013-01-01T00:36:00.000+01:00,2013-01-01T00:37:00.000+01:00,60,0.43,-73.967033,40.757071999999994,-73.948784,40.794571000000005,CSH,3.5,0.5,0.5,0.0,0.0,4.5,6.0
95F747F1CB4A567A31B3BD38D880F7E5,50B82611BC4F275A8BD4A38D2EBAA89A,2013-01-01T00:36:00.000+01:00,2013-01-01T00:37:00.000+01:00,60,0.45,-73.975197,40.752453,-73.97663100000001,40.750992,CSH,3.5,0.5,0.5,0.0,0.0,4.5,6.0
FDD1B352CB83868F656BCE2526608A4D,47B7EB7044CC2B1E0CE9BB3BA3E07770,2013-01-01T00:36:00.000+01:00,2013-01-01T00:37:00.000+01:00,60,0.29,-73.970772,40.76432,-73.96889499999999,40.766940999999996,CRD,3.0,0.5,0.5,0.7,0.0,4.7,6.0
13819BD4C711C0DFB63802E153F28036,CA1B2E814949B6D05066B285C2B281AA,2013-01-01T00:37:00.000+01:00,2013-01-01T00:38:00.000+01:00,60,0.39,-73.943024,40.789902000000005,-73.945435,40.786609999999996,CSH,3.5,0.5,0.5,0.0,0.0,4.5,6.0
253508A1EBFC63BF5DFB4361EAE83703,E8E63893D87BDF79EE647C2108CEF8C4,2013-01-01T00:36:00.000+01:00,2013-01-01T00:38:00.000+01:00,120,0.83,-73.952904,40.736176,-73.948753,40.725506,CSH,4.5,0.5,0.5,0.0,0.0,5.5,6.0
2940293F90E9249E157EEE5F42B9C189,0775A6582088961288B5307195EFE788,2013-01-01T00:36:00.000+01:00,2013-01-01T00:38:00.000+01:00,120,0.29,-73.989304,40.730057,-73.991867,40.731194,CSH,3.5,0.5,0.5,0.0,0.0,4.5,6.0
48D9DAC013A555372A47095A036163F1,35A32952035266841AED93F2EFCEEB9D,2013-01-01T00:37:00.000+01:00,2013-01-01T00:38:00.000+01:00,60,0.26,-73.972954,40.755660999999996,-73.973244,40.755322,CSH,3.0,0.5,0.5,0.0,0.0,4.0,6.0
559C4BBB463335332BE49A058D8F8E07,31DFEE1950AC1978C3B8F1219507C685,2013-01-01T00:36:00.000+01:00,2013-01-01T00:38:00.000+01:00,120,0.7,-73.976318,40.744312,-73.98093399999999,40.737778000000006,CSH,4.0,0.5,0.5,0.0,0.0,5.0,6.0
5FAA7F69213D26A42FA435CA9511A4FF,00B7691D86D96AEBD21DD9E138F90840,2013-01-01T00:38:00.000+01:00,2013-01-01T00:38:00.000+01:00,0,0.0,0.0,0.0,0.0,0.0,CSH,2.5,0.5,0.5,0.0,0.0,3.5,6.0
