line,page,week,num_likes,domain,outlet,title,description,contenttype,image,url,text,id,right_of_center
477,Pegida,36,441,n-tv.de,,,,,,http://mobil.n-tv.de/wirtschaft/Daimler-Chef-will-Fluechtlinge-anwerben-article15874076.html,"\"Solche Leute suchen wir doch Daimler-Chef will Flüchtlinge anwerben Daimler-Chef Dieter Zetsche fordert ein Abschiebeverbot für Azubis. (Foto: picture alliance / dpa) Flüchtlinge sind für Deutschland eine Chance, findet Daimler-Boss Zetsche. Schließlich seien viele von ihnen gut ausgebildet und hoch motiviert. Er will deshalb direkt in Asylbewerberunterkünften nach neuen Arbeitskräften suchen. Daimler-Chef Dieter Zetsche will in den Flüchtlingszentren nach Arbeitskräften suchen und für sein Unternehmen werben. \"\"Ich könnte mir vorstellen",dass wir in den Aufnahmezentren die Flüchtlinge über Möglichkeiten und Voraussetzungen informieren,"in Deutschland oder bei Daimler Arbeit zu finden\"\""
478,Pegida,36,441,daimler.com,,,,,,http://www.daimler.com/unternehmen/daimler-weltweit/europa,"E-Mail: dialog@daimler.com Vertreten durch den Vorstand: Dieter Zetsche (Vorsitzender), Martin Daum, Renata Jungo Brüngger, Ola Källenius, Wilfried Porth, Britta Seeger, Hubertus Troska, Bodo Uebber Vorsitzender des Aufsichtsrats: Manfred Bischoff Handelsregister beim Amtsgericht Stuttgart, Nr. HRB 19360 Umsatzsteueridentifikationsnummer: DE 81 25 26 315",478,True
479,Pegida,36,302,youtube.com,YouTube,ZDF-Zoom vom 02.09.2015 - Ein Staat - zwei Welten?,ZDFZoom vom 02.09.2015 Ein Staat - zwei Welten? - Einwanderer in Deutschland ZDF-Zoom vom 02.09.2015 - Ein Staat - zwei Welten? Wie die etwa 800 000 Flüchtli...,video,https://i.ytimg.com/vi/UVOSUuuJIoc/maxresdefault.jpg,https://www.youtube.com/watch?v=UVOSUuuJIoc,"Möchtest du dieses Video später noch einmal ansehen? Wenn du bei YouTube angemeldet bist, kannst du dieses Video zu einer Playlist hinzufügen.",479,True
480,Pegida,36,431,pi-news.net,,,,,,http://www.pi-news.net/2015/09/ungarn-10-000-auf-dem-weg-nach-deutschland/,,480,True
481,Pegida,36,595,mdr.de,,,,,,http://m.mdr.de/thueringen/mitte-west-thueringen/auseinandersetzung-asylbewerber-arnstadt100.html#mobilredirect,"Server Error 404 - File or directory not found. The resource you are looking for might have been removed, had its name changed, or is temporarily unavailable.",481,True
482,Pegida,36,1929,focus.de,FOCUS Online,Im Eilverfahren: Ungarn verschärft Gesetze gegen Einwanderer,,article,http://p5.focus.de/img/fotos/crop4347485/6022714688-w1200-h627-o-q75-p5/eilmeldung-banner.jpg,http://www.focus.de/politik/ausland/bis-zu-drei-jahre-haft-im-eilverfahren-ungarn-verschaerft-gesetze-gegen-einwanderer_id_4924864.html,"\"von Volker Hellein Ein wichtiger und richtiger Schritt! Bleibt zu hoffen, dass andere Länder wie z.B. Österreich und Deutschland diesem Beispiel folgen. Wenn ein Mensch vor Krieg oder Bürgerkrieg flüchtet, ist die Flucht dann beendet, wenn der Flüchtling ein sicheres Land erreicht hat. Will er in ein anderes Land weiterreisen, dann muss er sich entsprechende Papiere besorgen, z.B. über Botschaften oder Konsulate. Reist er aber ohne solche Dokumente in dieses andere Land, handelt es sich dabei um eine illegale Einwanderung. Dies sollte auch Deutschland hart bestrafen mit anschließender Ausweisung. Eine weitere, nicht zu unterschätzende Gefahr ist das Eindringen islamistischer Terroristen, die dann bei uns auf das Kommando zum Zuschlagen warten. Der Flüchtlingsstrom muss unbedingt eingedämmt werden. Antwort schreiben Aber wie Niemand hat die Absicht, die Welle eindämmen. Die Flüchtlinge sind vorläufig mit stehenden Ovationen aufgenohmen. Bald wird die ganze Bevölkerung überschwemmt. Schade. 04.09.2015 von Annabel Hempel Also Eilverfahren würde in Deutschland ja schon mal gar nicht funktionieren, zumindest nicht zum Schutz und zum Wohl der eigenen Bevölkerung. Und das obwohl Deutschland doch immer von den anderen Ländern fordert, \"\"ihre Hausaufgaben zu machen.\"\" Respekt Ungarn. Es soll ja tatsächlich noch Regierungen geben",die den Wahlauftrag und das Vertrauen ihrer Bevölkerung ernst nehmen und ihre Bevölkerung schützen. Wäre bei uns undenkbar. Tja,"wie hat das ein \"\"Flüchtling\"\" in Budapest heute so treffend gesagt. \"\"Angela Merkel ist unserer Mutter"
483,Pegida,36,497,t-online.de,www.t-online.de,De Maizière: Finanzielle Anreize lösen Sogeffekt aus,"Berlin (dpa) - Bundesinnenminister Thomas de Maizière hat seine Forderung bekräftigt, die Geldleistungen für Asylbewerber auf den Prüfstand zu stellen. Anstelle",article,http://stats.t-online.de/b/74/57/42/66/id_74574266/tid_da/index.jpg,http://www.t-online.de/nachrichten/id_75282650/de-maiziere-finanzielle-anreize-loesen-sogeffekt-aus.html,"HINWEIS: Sie nutzen einen unsicheren und veralteten Browser! Wechseln Sie jetzt auf einen aktuellen Browser, um schneller und sicherer zu surfen. Wie empfehlen unseren kostenlosen t-online.de Browser:",483,True
484,Pegida,36,1575,finanzen.net,finanzen.net,Lösung für die Krise?: Milliardär will Mittelmeerinsel für Flüchtlinge kaufen 04.09.2015 | Nachricht | finanzen.net,"Um das Flüchtlingsproblem in den Griff zu bekommen, hat ein Milliardär aus Ägypten eine ziemlich unorthodoxe Lösung vorgeschlagen: Er will eine Insel im Mittelmeer kaufen und dort einen neuen Staat gründen. 04.09.2015",article,http://images.finanzen.net/mediacenter/unsortiert/naguib-sawiris-inselimmobilien-660.jpg,http://www.finanzen.net/nachricht/private-finanzen/Loesung-fuer-die-Krise-Milliardaer-will-Mittelmeerinsel-fuer-Fluechtlinge-kaufen-4503676,"\"Verkaufen Ähnliche Themen Minecraft-Milliardär Persson über den Fluch des Geldes: Darum machten ihn seine Milliarden unglückli Mark Zuckerberg teilt sein Erfolgsgeheimnis: 10 Tipps vom Facebook-Milliardär So wurde die jüngste Selfmade-Milliardärin reich Top Themen Heute Abgasffäre in USA kostet VW wohl über 15 Milliarden Dollar Diese 10 Fakten sind heute von Wichtigkeit Invesco-Chef: \"\"Es gibt keinen Königsweg\"\" Der ägyptische Milliardär Naguib Sawiris hat einen ungewöhnlichen Plan: Er will ein Insel im Mittelmeer zu kaufen",um Flüchtlingen,die aktuell zu Tausenden nach Europa kommen
485,Pegida,36,400,welt.de,DIE WELT,Geheimdienst entdeckt Islamisten zwischen Flüchtlingen,Der norwegische Geheimdienst hat die Einreise von möglichen Terroristen des Islamischen Staates und der Al-Nusra-Front verhindert. Die Islamisten wollten sich als Flüchtlinge tarnen.,article,http://m.welt.de/img/ausland/crop141774531/1346934741-ci3x2l-w900/title.jpg,http://m.welt.de/politik/ausland/article141769204/Geheimdienst-entdeckt-Islamisten-zwischen-Fluechtlingen.html,"\"Geheimdienst entdeckt Islamisten zwischen Flüchtlingen 01.06.15 43 Flüchtlinge in Syrien: Unter ihnen könnten auch gewaltbereite Islamisten sein, wird befürchtet Foto: dpa Der norwegische Geheimdienst hat die Einreise von möglichen Terroristen des Islamischen Staates und der Al-Nusra-Front verhindert. Die Islamisten wollten sich als Flüchtlinge tarnen. Der norwegische Geheimdienst PST hat die Einreise von islamistischen Terroristen des Islamischen Staates und der mit al-Qaida verbundenen Al-Nusra-Front verhindert. Die Islamisten sollen versucht haben, sich unter Flüchtlinge zu mischen und mit ihnen einzureisen. Das berichtet die Zeitung \"\"Dagbladet\"\" unter Berufung auf den Geheimdienst. Geheimdienstmitarbeiter hätten demnach im Nahen Osten verhindern können",dass bis zu zehn dieser Personen,die sich einer der beiden Terrororganisationen angeschlossen hatten
486,Pegida,36,304,sueddeutsche.de,,,,,,http://www.sueddeutsche.de/politik/debatte-um-integration-de-maizire-will-grundgesetz-wegen-fluechtlingen-aendern-1.2631546,"\"Bundesinnenminister Thomas de Maizière drängt angesichts der ankommenden Menschen auf eine Verfassungsänderung. In einem Zeit-Interview warnt er davor, dass die Integration dieser Flüchtlinge schwieriger sei als bei früheren Einwanderern. De Maizière kündigt ein hartes Durchgreifen bei fremdenfeindlichen Straftaten an. Italien erklärt sich auf Bitten Deutschlands bereit, vorübergehende Kontrollen am Brenner durchzuführen. Inneminister De Maizière will Grundgesetz ändern Bundesinnenminister Thomas de Maizière (CDU) will die Verfassung ändern, um Flüchtlingen schneller und unbürokratischer helfen zu können. \"\"Wir werden uns überall auf Veränderungen einstellen müssen: Schule",Polizei,Wohnungsbau
