line,page,week,num_likes,domain,outlet,title,description,contenttype,image,url,text,id,right_of_center
165,Pegida,22,513,mdr.de,,,,,,http://m.mdr.de/exakt/moschee_magdeburg112.html#mobilredirect,"Server Error 404 - File or directory not found. The resource you are looking for might have been removed, had its name changed, or is temporarily unavailable. ",165,True
166,Pegida,22,549,zukunftskinder.org,,,,,,http://www.zukunftskinder.org/?p=51157,Galerie Oops! That page can’t be found. It looks like nothing was found at this location. Maybe try one of the links below or a search? Suche nach: ,166,True
167,Pegida,22,549,facebook.com,,,,,,https://www.facebook.com/pegida.daebritz/photos/a.509109572560124.1073741828.507642806040134/551504754987272/?type=1&theater,"âª#âPEGIDAâ¬ âª#âSchautHinâ¬ âª#âKannsteDirNichtAusdenkenâ¬ Eine ""PÃ¤dagogin"" der Initiative ""Schule ohne Rassismus"", attestiert dem frauenfeindlichen Imam korrektes Verhalten, diese âª#âNaivmenschenâ¬ sind wirklich kÃ¶stlich, die wÃ¼rden sich auch noch  bedanken, wenn sie angespuckt werden wÃ¼rden, sensationell. . . Wundert sich noch jemand Ã¼ber einen GroÃteil der SchÃ¼ler, die gar nicht laut genug WELCOME schreien kÃ¶nnen? ... +++ Berliner Schule - PÃ¤dagogin zu Handschlag-Streit: âAus meiner Sicht verhielt sich der Imam korrektâ Ein Berliner Imam verweigerte der Lehrerin seines Sohnes den Handschlag, diese wertete das als frauenfeindlich - der Streit eskaliert. Kein Einzelfall, sagt PÃ¤dagogin Sanem Kleff von der Initiative âSchule ohne Rassismus"". Sie plÃ¤diert dafÃ¼r, die Art der BegrÃ¼Ãung jedem selbst zu Ã¼berlassen - und findet die Reaktion der Lehrerin unprofessionell. +++ PÃ¤dagogin zu Handschlag-Streit: âAus meiner Sicht verhielt sich der Imam korrektâ Ein Berliner Imam verweigerte der Lehrerin seines Sohnes den Handschlag, diese wertete das als frauenfeindlich - der Streit eskaliert. Kein Einzelfall, sagt PÃ¤dagogin Sanem Kleff von der Initiative âSchule ohne Rassismusâ. Sie plÃ¤diert dafÃ¼r, die Art der BegrÃ¼Ãung jedem selbst zu Ã¼berlassen - und fi... m.focus.de|Von FOCUS Online ",167,True
168,Pegida,22,463,stuttgarter-nachrichten.de,,,,,,http://www.stuttgarter-nachrichten.de/inhalt.wlan-in-unterkunft-erstes-asylheim-bekommt-freien-internetzugang.1dc29ac5-541d-42db-9c03-5c1ad142cd50.html,"WLAN in Unterkunft Erstes Asylheim bekommt freien Internetzugang Von Leon Scherfig und David Rau  30. Mai 2015 - 16:30 Uhr E-Mail   In den von der Stadt bereitgestellten Unterkünften gibt es bisher kein freies Internet Foto: Lichtgut/Achim Zweygarth Trotz früherer Bedenken richtet die erste Flüchtlingsunterkunft in Stuttgart bald einen freien Internetzugang ein. In der Böblinger Straße haben die fast 200 Bewohner ab Ende Juni freien Zugang ins Netz. Möglich macht das eine spezielle Technik. Stuttgart - Die erste Flüchtlingsunterkunft in Stuttgart bekommt einen frei zugänglichen Internetanschluss: Vom 23. Juni an sollen die fast 200 Bewohner des Heims in der Böblinger Straße kostenlos im Netz surfen können, um so Kontakt zu ihren Verwandten im Ausland zu halten. „Mit dem Anschluss können rund 15 Flüchtlinge gleichzeitig stabil im Internet sein“, sagt Gido Krause vom Flüchtlings-Freundeskreis Süd. Den Vertrag für die ersten 24 Monate hat ein Mitglied des Freundeskreis abgeschlossen. Zuvor hatte der Verein dazu aufgerufen, Spenden für das Projekt zu sammeln, und brachte so 700 Euro zusammen. Prototyp für weitere Heime „Das ist in erster Linie ein Testlauf. Wenn das Projekt gut läuft, stellt es eine Art Prototyp für weitere Flüchtlingsheime in Stuttgart dar“, heißt es seitens des Freundeskreises. Auch die Stadt selbst hatte in der Vergangenheit geprüft, ob sie in Flüchtlingsunterkünften WLAN (Wireless Local Area Network) einrichtet. Die Pläne scheiterten allerdings an rechtlichen Hürden. Insbesondere die Risiken mit der sogenannten Störerhaftung hätten die Stadt davon abgehalten, Internet für die Bewohner einzurichten, steht in einem Schreiben des Sozialamts. Laut aktueller Rechtsprechung übernehmen die Betreiber eines drahtlosen Netzwerks die Haftung dafür, was in ihrem Netz geschieht. Das würde für den vorliegenden Fall bedeuten: Wenn ein Bewohner illegal Kinofilme herunterlädt, landet die Abmahnung des Rechteinhabers beim Betreiber, dem Mitglied des Freundeskreises. Die ehrenamtlichen Helfer umgehen diese Gefahr allerdings, indem sie das Internet über den Verein Freifunk Stuttgart laufen lassen. Deren spezielle Technik ermöglicht ein sicheres Netzwerk, indem der Zugang über Server zum Beispiel in den Niederlanden erfolgt. „Wir sorgen durch diese technische Maßnahme dafür, dass sich die Frage nach der Haftung gar nicht erst stellt“, sagt ein Mitglied der Freifunker. Ein aktueller Gesetzesentwurf der Bundesregierung könnte jedoch das Aus für diese freien Zugänge bedeuten. ",168,True
169,Pegida,22,401,dnn-online.de,,,,,,http://www.dnn-online.de/…/Tatjana-Festerling-Keine-Spielch…,"Die von Ihnen angegebene Adresse konnte leider nicht gefunden werden. Möglicherweise sind Sie einem falschen oder veralteten Link gefolgt, oder Sie haben sich bei der Eingabe der Adresse vertippt. ",169,True
170,Pegida,22,547,facebook.com,,,,,,https://www.facebook.com/HCStrache/photos/pb.74865038590.-2207520000.1432991533./10153074953118591/?type=1&theater,"26. Juni um 02:26 Â· Das britische Volk hat entschieden und es war eine gute Entscheidung. Die  EU Regierung in BrÃ¼ssel ist seit Jahren damit beschÃ¤ftigt, Europa zu zentralisieren u...nd die gesamte Macht an sich zu reiÃen. Nun erhielten die EU Bonzen eine klare Absage, und das zu Recht. Die Mehrheit Grossbritaniens hat den korrupten EU Politikern den Gehorsam verweigert. Somit ist die Idee eines vereinten Europas gescheitert und wenn EU-ParlamentsprÃ¤sident Martin Schulz glaubt, dass es keine Kettenreaktion geben werde, dann irrt er gewaltig. Die ânochâ verbleibenden 27 Mitgliedstaaten werden sich die Entwicklung  Englands in Ruhe anschauen. Sollte es den Briten gelingen, auch ohne EU Mitgliedschaft lebensfÃ¤hig zu werden, wovon auszugehen ist,  dann werden andere LÃ¤nder folgen. Ein gemeinsames Europa, welches auf LÃ¼gen, Korruption und Machtgier basiert, kann keine Zukunft haben. Der BREXIT ist ein Denkzettel,  aus BrÃ¼ssel wird eine andere, menschenfreundlicher Politik gefordert. FELIX BAUMGARTNER ",170,True
171,Pegida,22,547,facebook.com,,,,,,https://www.facebook.com/mkunasek,"Sicherheitskontrolle erforderlich Entfernen Wir verwenden Cookies, um Inhalte zu personalisieren, Werbeanzeigen maÃzuschneidern und zu messen sowie die Sicherheit unserer Nutzer zu erhÃ¶hen. Wenn du auf unsere Webseite klickst oder hier navigierst, stimmst du der Erfassung von Informationen durch Cookies auf und auÃerhalb von Facebook zu. Weitere Informationen zu unseren Cookies und dazu, wie du die Kontrolle darÃ¼ber behÃ¤ltst, findest du hier: Cookie-Richtlinie . ",171,True
172,Pegida,22,547,facebook.com,,,,,,https://www.facebook.com/HCStrache?fref=ts,"Mit dem Foto auf der E-Card (plus Ausweiskontrolle!) wollen wir den Missbrauch abstellen! +++ Sozialbetrug allein in Tirol: 262 Fälle +++ 262 aufgedeckte Betrugsfälle, die in den vergangenen zwölf Monaten beim Gericht zur Anzeige gebracht wurden. Dazu kommen 179 Verwaltungsanzeigen. Die Summe der zu Unrecht bezogenen Gelder liegt bei über einer Million Euro, erklärte Polizeichef Helmut Tomac. Zu den spektakulärsten Fällen zählt eine 85-jährige Südländerin, die sich mit der E...-Card ihrer Tochter über ein Jahrzehnt lang in Tirols Spitälern behandeln und auch operieren ließ. Der verursachte Schaden: 51.000 Euro. Für Aufsehen sorgte auch die dreifache Mutter, die längst wieder in der Türkei lebte, aber weiterhin einen Wohnsitz in Jenbach vortäuschte, um auf Familienbeihilfe etc. nicht verzichten zu müssen. Und aktuell haben die Ermittler einen deutschen Mindestrentner im Visier, der sich mit einem Scheinwohnsitz in Tirol die Ausgleichszulage erschlichen haben soll. Wie sieht es dann in ganz Österreich aus? See More With the photo on the e-Card (Plus Id! ) we want to turn off the abuse!  +++ social fraud alone in tyrol: 262 cases +++  262 cases of fraud detected in the court in the last 262 months. There are 179 administrative ads. The sum of the wrongly related funds is over one million euros, declared police commissioner helmut tomac. One of the most spectacular cases is a 85-Year-old, who has been treated with her daughter's e-Card for a decade in tyrol's hospitals and has also operated. The damage caused: 51.000 euros.  The Three-day mother, who lived in turkey again, was also a member of the family, but continued to live in jenbach, in order to be able to Don't give up. And currently, investigators are targeting a German minimum pensioner who is supposed to have the compensatory allowance with a residence in tyrol.  Then what does it look like in Austria? Translated ",172,True
173,Pegida,22,547,facebook.com,,,,,,https://www.facebook.com/fpoeburgenland,"Wir finden es mehr als befremdlich, dass die SPÖ mit den Nöten der Bevölkerung spielt und hier eine ganz gezielte Verunsicherung betreibt. ➡️ Die FPÖ und Beate Hartinger-Klein garantieren, dass die Notstandshilfe als Versicherungsleistung bleiben wird! ",173,True
174,Pegida,22,407,mdr.de,,,,,,http://m.mdr.de/nachrichten/nicht-erfasste-fluechtlinge-in-sachsen100.html#mobilredirect,"Server Error 404 - File or directory not found. The resource you are looking for might have been removed, had its name changed, or is temporarily unavailable. ",174,True
