RowId,Source,Flight,ScheduledDeparture,ActualDeparture,DepartureGate,ScheduledArrival,ActualArrival,ArrivalGate,for_key,date
24783,ua,UA-2708-EWR-CLT,Mon_ Dec 12 2:55 PM,Mon_ Dec 12 2:55 PM,A37,Mon_ Dec 12 4:53 PM,Mon_ Dec 12 4:34 PM,C4,Mon_ Dec 12 2:55 PM,734483
24784,airtravelcenter,UA-2708-EWR-CLT,Mon_ Dec 12 2:55 PM,Mon_ Dec 12 2:55 PM,A37,Mon_ Dec 12 4:53 PM,Mon_ Dec 12 4:34 PM,C4,Mon_ Dec 12 2:55 PM,734483
24785,myrateplan,UA-2708-EWR-CLT,Mon_ Dec 12 2:55 PM,Mon_ Dec 12 2:55 PM,A37,Mon_ Dec 12 4:53 PM,Mon_ Dec 12 4:34 PM,C4,Mon_ Dec 12 2:55 PM,734483
24786,helloflight,UA-2708-EWR-CLT,Mon_ Dec 12 2:55 PM,Mon_ Dec 12 2:55 PM,A37,Mon_ Dec 12 4:53 PM,Mon_ Dec 12 4:34 PM,C4,Mon_ Dec 12 2:55 PM,734483
24787,flytecomm,UA-2708-EWR-CLT,Mon_ Dec 12 2:55 PM,Mon_ Dec 12 2:55 PM,A37,Mon_ Dec 12 4:53 PM,Mon_ Dec 12 4:34 PM,C4,Mon_ Dec 12 2:55 PM,734483
24788,flights,UA-2708-EWR-CLT,Mon_ Dec 12 2:55 PM,Mon_ Dec 12 2:55 PM,A37,Mon_ Dec 12 4:53 PM,Mon_ Dec 12 4:34 PM,C4,Mon_ Dec 12 2:55 PM,734483
24789,businesstravellogue,UA-2708-EWR-CLT,Mon_ Dec 12 2:55 PM,Mon_ Dec 12 2:55 PM,A37,Mon_ Dec 12 4:53 PM,Mon_ Dec 12 4:34 PM,C4,Mon_ Dec 12 2:55 PM,734483
24790,flylouisville,UA-2708-EWR-CLT,Mon_ Dec 12 2:55 PM,Mon_ Dec 12 2:55 PM,A37,Mon_ Dec 12 4:53 PM,Mon_ Dec 12 4:34 PM,C4,Mon_ Dec 12 2:55 PM,734483
24791,flightstats,UA-2708-EWR-CLT,Mon_ Dec 12 2:55 PM,Mon_ Dec 12 2:55 PM,A37,Mon_ Dec 12 4:53 PM,Mon_ Dec 12 4:34 PM,C4,Mon_ Dec 12 2:55 PM,734483
24792,quicktrip,UA-2708-EWR-CLT,Mon_ Dec 12 2:55 PM,Mon_ Dec 12 2:55 PM,A37,Mon_ Dec 12 4:53 PM,Mon_ Dec 12 4:34 PM,C4,Mon_ Dec 12 2:55 PM,734483
24793,flightview,UA-2708-EWR-CLT,Mon_ Dec 12 2:55 PM,Mon_ Dec 12 2:55 PM,A37,Mon_ Dec 12 4:53 PM,Mon_ Dec 12 4:34 PM,C4,Mon_ Dec 12 2:55 PM,734483
24794,panynj,UA-2708-EWR-CLT,Mon_ Dec 12 2:55 PM,Mon_ Dec 12 2:55 PM,A37,Mon_ Dec 12 4:53 PM,Mon_ Dec 12 4:34 PM,C4,Mon_ Dec 12 2:55 PM,734483
24795,gofox,UA-2708-EWR-CLT,Mon_ Dec 12 2:55 PM,Mon_ Dec 12 2:55 PM,A37,Mon_ Dec 12 4:53 PM,Mon_ Dec 12 4:34 PM,C4,Mon_ Dec 12 2:55 PM,734483
24796,foxbusiness,UA-2708-EWR-CLT,Mon_ Dec 12 2:55 PM,Mon_ Dec 12 2:55 PM,A37,Mon_ Dec 12 4:53 PM,Mon_ Dec 12 4:34 PM,C4,Mon_ Dec 12 2:55 PM,734483
24797,allegiantair,UA-2708-EWR-CLT,Mon_ Dec 12 2:55 PM,Mon_ Dec 12 2:55 PM,A37,Mon_ Dec 12 4:53 PM,Mon_ Dec 12 4:34 PM,C4,Mon_ Dec 12 2:55 PM,734483
24798,boston,UA-2708-EWR-CLT,Mon_ Dec 12 2:55 PM,Mon_ Dec 12 2:55 PM,A37,Mon_ Dec 12 4:53 PM,Mon_ Dec 12 4:34 PM,C4,Mon_ Dec 12 2:55 PM,734483
24799,orbitz,UA-2708-EWR-CLT,Mon_ Dec 12 2:55 PM,Mon_ Dec 12 2:55 PM,A37,Mon_ Dec 12 4:53 PM,Mon_ Dec 12 4:34 PM,C4,Mon_ Dec 12 2:55 PM,734483
24800,weather,UA-2708-EWR-CLT,Mon_ Dec 12 2:55 PM,Mon_ Dec 12 2:55 PM,A37,Mon_ Dec 12 4:53 PM,Mon_ Dec 12 4:34 PM,C4,Mon_ Dec 12 2:55 PM,734483
24801,flightarrival,UA-2708-EWR-CLT,Mon_ Dec 12 2:55 PM,Mon_ Dec 12 2:55 PM,A37,Mon_ Dec 12 4:53 PM,Mon_ Dec 12 4:34 PM,C4,Mon_ Dec 12 2:55 PM,734483
24802,ua,UA-3925-IAD-ORF,Mon_ Dec 12 8:42 AM,Mon_ Dec 12 8:38 AM,A2G,Mon_ Dec 12 9:55 AM,Mon_ Dec 12 9:29 AM,--,Mon_ Dec 12 8:42 AM,734483
24803,flightexplorer,UA-3925-IAD-ORF,Mon_ Dec 12 8:42 AM,Mon_ Dec 12 8:38 AM,A2G,Mon_ Dec 12 9:55 AM,Mon_ Dec 12 9:29 AM,--,Mon_ Dec 12 8:42 AM,734483
24804,airtravelcenter,UA-3925-IAD-ORF,Mon_ Dec 12 8:42 AM,Mon_ Dec 12 8:38 AM,A2G,Mon_ Dec 12 9:55 AM,Mon_ Dec 12 9:29 AM,--,Mon_ Dec 12 8:42 AM,734483
24805,myrateplan,UA-3925-IAD-ORF,Mon_ Dec 12 8:42 AM,Mon_ Dec 12 8:38 AM,A2G,Mon_ Dec 12 9:55 AM,Mon_ Dec 12 9:29 AM,--,Mon_ Dec 12 8:42 AM,734483
24806,helloflight,UA-3925-IAD-ORF,Mon_ Dec 12 8:42 AM,Mon_ Dec 12 8:38 AM,A2G,Mon_ Dec 12 9:55 AM,Mon_ Dec 12 9:29 AM,--,Mon_ Dec 12 8:42 AM,734483
24807,flytecomm,UA-3925-IAD-ORF,Mon_ Dec 12 8:42 AM,Mon_ Dec 12 8:38 AM,A2G,Mon_ Dec 12 9:55 AM,Mon_ Dec 12 9:29 AM,--,Mon_ Dec 12 8:42 AM,734483
24808,flightaware,UA-3925-IAD-ORF,Mon_ Dec 12 8:42 AM,Mon_ Dec 12 8:38 AM,A2G,Mon_ Dec 12 9:55 AM,Mon_ Dec 12 9:29 AM,--,Mon_ Dec 12 8:42 AM,734483
24809,wunderground,UA-3925-IAD-ORF,Mon_ Dec 12 8:42 AM,Mon_ Dec 12 8:38 AM,A2G,Mon_ Dec 12 9:55 AM,Mon_ Dec 12 9:29 AM,--,Mon_ Dec 12 8:42 AM,734483
24810,flights,UA-3925-IAD-ORF,Mon_ Dec 12 8:42 AM,Mon_ Dec 12 8:38 AM,A2G,Mon_ Dec 12 9:55 AM,Mon_ Dec 12 9:29 AM,--,Mon_ Dec 12 8:42 AM,734483
24811,businesstravellogue,UA-3925-IAD-ORF,Mon_ Dec 12 8:42 AM,Mon_ Dec 12 8:38 AM,A2G,Mon_ Dec 12 9:55 AM,Mon_ Dec 12 9:29 AM,--,Mon_ Dec 12 8:42 AM,734483
24812,flylouisville,UA-3925-IAD-ORF,Mon_ Dec 12 8:42 AM,Mon_ Dec 12 8:38 AM,A2G,Mon_ Dec 12 9:55 AM,Mon_ Dec 12 9:29 AM,--,Mon_ Dec 12 8:42 AM,734483
24813,flightstats,UA-3925-IAD-ORF,Mon_ Dec 12 8:42 AM,Mon_ Dec 12 8:38 AM,A2G,Mon_ Dec 12 9:55 AM,Mon_ Dec 12 9:29 AM,--,Mon_ Dec 12 8:42 AM,734483
24814,quicktrip,UA-3925-IAD-ORF,Mon_ Dec 12 8:42 AM,Mon_ Dec 12 8:38 AM,A2G,Mon_ Dec 12 9:55 AM,Mon_ Dec 12 9:29 AM,--,Mon_ Dec 12 8:42 AM,734483
24815,flightview,UA-3925-IAD-ORF,Mon_ Dec 12 8:42 AM,Mon_ Dec 12 8:38 AM,A2G,Mon_ Dec 12 9:55 AM,Mon_ Dec 12 9:29 AM,--,Mon_ Dec 12 8:42 AM,734483
