RowId,Source,Flight,ScheduledDeparture,ActualDeparture,DepartureGate,ScheduledArrival,ActualArrival,ArrivalGate,date
29778,ua,UA-2708-EWR-CLT,Wed_ Dec 14 2:55 PM,Wed_ Dec 14 2:55 PM,A37,Wed_ Dec 14 4:53 PM,Wed_ Dec 14 4:46 PM,C13,734485
29779,airtravelcenter,UA-2708-EWR-CLT,,12/14/11 3:16 PM (-05:00),,,12/14/11 4:32 PM (-05:00),,734485
29780,myrateplan,UA-2708-EWR-CLT,,12/14/11 3:16 PM (-05:00),,,12/14/11 4:32 PM (-05:00),,734485
29781,helloflight,UA-2708-EWR-CLT,,12/14/11 3:16 PM (-05:00),,,12/14/11 4:32 PM (-05:00),,734485
29782,flytecomm,UA-2708-EWR-CLT,,12/14/11 3:16 PM (-05:00),,,12/14/11 4:32 PM (-05:00),,734485
29783,flights,UA-2708-EWR-CLT,,2011-12-14 02:53 PM,37,,2011-12-14 04:46 PM,C13,734485
29784,businesstravellogue,UA-2708-EWR-CLT,,2011-12-14 02:53 PM,37,,2011-12-14 04:46 PM,C13,734485
29785,flylouisville,UA-2708-EWR-CLT,,2011-12-14 02:53 PM,37,,2011-12-14 04:46 PM,C13,734485
29786,flightstats,UA-2708-EWR-CLT,2011-12-14 2:55 PM,2011-12-14 2:53 PM,,2011-12-14 4:53 PM,2011-12-14 4:46 PM,,734485
29787,quicktrip,UA-2708-EWR-CLT,2011-12-14 2:55 PM,2011-12-14 2:53 PM,,2011-12-14 4:53 PM,2011-12-14 4:46 PM,,734485
29788,flightview,UA-2708-EWR-CLT,,3:16 PMDec 14,,,4:33 PMDec 14,,734485
29789,panynj,UA-2708-EWR-CLT,,3:16 PMDec 14,,,4:33 PMDec 14,,734485
29790,gofox,UA-2708-EWR-CLT,,3:16 PMDec 14,,,4:33 PMDec 14,,734485
29791,foxbusiness,UA-2708-EWR-CLT,,3:16 PMDec 14,,,4:33 PMDec 14,,734485
29792,allegiantair,UA-2708-EWR-CLT,,3:16 PMDec 14,,,4:33 PMDec 14,,734485
29793,boston,UA-2708-EWR-CLT,,3:16 PMDec 14,,,4:33 PMDec 14,,734485
29794,travelocity,UA-2708-EWR-CLT,Dec 14 - 2:55pm,Dec 14 - Contact Airline,Not provided by airline,Dec 14 - 4:53pm,Dec 14 - Contact Airline,Not provided by airline,734485
29795,orbitz,UA-2708-EWR-CLT,2:55pDec 14,2:53pDec 14,-,4:53pDec 14,4:46pDec 14,-,734485
29796,weather,UA-2708-EWR-CLT,2011-12-14 02:55 PM,,,2011-12-14 04:53 PM,,,734485
29797,usatoday,UA-2708-EWR-CLT,2011-12-14 02:55 PM,,,2011-12-14 04:53 PM,,,734485
29798,mytripandmore,UA-2708-EWR-CLT,Dec 14 - 2:55pm,Dec 14 - Contact Airline,Not provided by airline,Dec 14 - 4:53pm,Dec 14 - Contact Airline,Not provided by airline,734485
29799,ua,UA-3925-IAD-ORF,Wed_ Dec 14 8:42 AM,Wed_ Dec 14 8:32 AM,A2G,Wed_ Dec 14 9:55 AM,Wed_ Dec 14 9:35 AM,--,734485
29800,flightexplorer,UA-3925-IAD-ORF,,12/14/2011 8:55AM EST,,,12/14/2011 9:36AM EST,,734485
29801,airtravelcenter,UA-3925-IAD-ORF,,12/14/11 8:55 AM (-05:00),,,12/14/11 9:36 AM (-05:00),,734485
29802,myrateplan,UA-3925-IAD-ORF,,12/14/11 8:55 AM (-05:00),,,12/14/11 9:36 AM (-05:00),,734485
29803,helloflight,UA-3925-IAD-ORF,,12/14/11 8:55 AM (-05:00),,,12/14/11 9:36 AM (-05:00),,734485
29804,flytecomm,UA-3925-IAD-ORF,,12/14/11 8:55 AM (-05:00),,,12/14/11 9:36 AM (-05:00),,734485
29805,flightaware,UA-3925-IAD-ORF,2011-12-14 08:42AM EST,2011-12-14 09:00AM EST,A2G,2011-12-14 09:20AM EST,2011-12-14 09:38AM EST,,734485
29806,wunderground,UA-3925-IAD-ORF,2011-12-14 08:42AM EST,2011-12-14 09:00AM EST,A2G,2011-12-14 09:20AM EST,2011-12-14 09:38AM EST,,734485
29807,flights,UA-3925-IAD-ORF,,2011-12-14 08:32 AM,A2,,2011-12-14 09:35 AM,,734485
29808,businesstravellogue,UA-3925-IAD-ORF,,2011-12-14 08:32 AM,A2,,2011-12-14 09:35 AM,,734485
29809,flylouisville,UA-3925-IAD-ORF,,2011-12-14 08:32 AM,A2,,2011-12-14 09:35 AM,,734485
29810,flightstats,UA-3925-IAD-ORF,2011-12-14 8:42 AM,2011-12-14 8:32 AM,,2011-12-14 9:55 AM,2011-12-14 9:35 AM,,734485
29811,quicktrip,UA-3925-IAD-ORF,2011-12-14 8:42 AM,2011-12-14 8:32 AM,,2011-12-14 9:55 AM,2011-12-14 9:35 AM,,734485
29812,flightview,UA-3925-IAD-ORF,,8:55 AMDec 14,,,9:35 AMDec 14,,734485
29813,panynj,UA-3925-IAD-ORF,,8:55 AMDec 14,,,9:35 AMDec 14,,734485
29814,gofox,UA-3925-IAD-ORF,,8:55 AMDec 14,,,9:35 AMDec 14,,734485
29815,foxbusiness,UA-3925-IAD-ORF,,8:55 AMDec 14,,,9:35 AMDec 14,,734485
29816,allegiantair,UA-3925-IAD-ORF,,8:55 AMDec 14,,,9:35 AMDec 14,,734485
29817,boston,UA-3925-IAD-ORF,,8:55 AMDec 14,,,9:30 AMDec 14,,734485
29818,travelocity,UA-3925-IAD-ORF,Dec 14 - Not Available,Dec 14 - 8:54am,A2G,Dec 14 - Not Available,Dec 14 - 9:35am,CHK,734485
29819,orbitz,UA-3925-IAD-ORF,8:42aDec 14,8:32aDec 14,A2G,9:55aDec 14,9:35aDec 14,-,734485
29820,weather,UA-3925-IAD-ORF,2011-12-14 08:42 AM,,,2011-12-14 09:55 AM,,,734485
29821,mytripandmore,UA-3925-IAD-ORF,8:42aDec 14,8:32aDec 14,A2G,9:55aDec 14,9:35aDec 14,-,734485
29822,flightarrival,UA-3925-IAD-ORF,2011-12-14 08:42 AM,,,2011-12-14 09:55 AM,,,734485
29823,aa,AA-649-ORD-SNA,December 14_ 2011               01:30 PM,December 14_ 2011,H10,December 14_ 2011               03:50 PM,December 14_ 2011,7,734485
29824,flightexplorer,AA-649-ORD-SNA,12/14/2011 1:30PM CST,,,12/14/2011 3:50PM PST,,,734485
